"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",0.88125,0.0573074473216049
"2","ResNMTF","2","Overall","Rel",0.716473910462049,0.123427510760151
"3","ResNMTF","2","Overall","Rec",0.637291666666667,0.109477795609345
"4","ResNMTF","2","Overall","F_score",0.652476855759455,0.0979281752021722
"5","ResNMTF","2","Overall","BiS",0.215103761319903,0.157852252683067
"6","ResNMTF","3","Overall","CSR",0.975,0.0351364184463154
"7","ResNMTF","3","Overall","Rel",0.982212669683258,0.0309385163167404
"8","ResNMTF","3","Overall","Rec",0.932101558572147,0.093649210777471
"9","ResNMTF","3","Overall","F_score",0.952319690814819,0.0657238032645518
"10","ResNMTF","3","Overall","BiS",0.465398895584177,0.00575068901411129
"11","ResNMTF","4","Overall","CSR",0.828035714285714,0.0845680216361168
"12","ResNMTF","4","Overall","Rel",0.845990915798094,0.0827251054341748
"13","ResNMTF","4","Overall","Rec",0.54651700665969,0.110271275310308
"14","ResNMTF","4","Overall","F_score",0.650092262630903,0.0989759284337672
"15","ResNMTF","4","Overall","BiS",0.404161904311312,0.0468322145146704
"16","ResNMTF","5","Overall","CSR",0.743363095238095,0.160954660597805
"17","ResNMTF","5","Overall","Rel",0.600198961740956,0.109176819193305
"18","ResNMTF","5","Overall","Rec",0.317606016242907,0.0927442446995319
"19","ResNMTF","5","Overall","F_score",0.400791121470583,0.0953431734340168
"20","ResNMTF","5","Overall","BiS",0.174282785416896,0.15288947782053
"21","GFA","2","Overall","CSR",0.279411764705883,0.00187691295643922
"22","GFA","2","Overall","Rel",0.208233489823728,0.0168422622811732
"23","GFA","2","Overall","Rec",0.421127252066934,0.0854950523665097
"24","GFA","2","Overall","F_score",0.274039008209857,0.0310475439385593
"25","GFA","2","Overall","BiS",-0.177012462829268,0.0527123517294703
"26","GFA","3","Overall","CSR",0.368421052631579,0
"27","GFA","3","Overall","Rel",0.137153137280735,0.00732619321732163
"28","GFA","3","Overall","Rec",0.255348385120896,0.0302308398636621
"29","GFA","3","Overall","F_score",0.178162300100783,0.0135263494299599
"30","GFA","3","Overall","BiS",-0.183935127303813,0.0460653552861397
"31","GFA","4","Overall","CSR",0.45,0
"32","GFA","4","Overall","Rel",0.132630356637503,0.0194222337283835
"33","GFA","4","Overall","Rec",0.224186810085578,0.0666871281496499
"34","GFA","4","Overall","F_score",0.165708415267636,0.0336401166149858
"35","GFA","4","Overall","BiS",-0.181577158211112,0.045079425203687
"36","GFA","5","Overall","CSR",0.523809523809524,0
"37","GFA","5","Overall","Rel",0.116443224934026,0.0212137640807187
"38","GFA","5","Overall","Rec",0.175840604021407,0.0525011109068936
"39","GFA","5","Overall","F_score",0.139493683178144,0.0315172303175128
"40","GFA","5","Overall","BiS",-0.164916552987683,0.0309589965603184
"41","iSSVD","2","Overall","CSR",0.333333333333333,0
"42","iSSVD","2","Overall","Rel",0,0
"43","iSSVD","2","Overall","Rec",0,0
"44","iSSVD","2","Overall","F_score",0,0
"45","iSSVD","2","Overall","BiS",0,0
"46","iSSVD","3","Overall","CSR",0.25,0
"47","iSSVD","3","Overall","Rel",0,0
"48","iSSVD","3","Overall","Rec",0,0
"49","iSSVD","3","Overall","F_score",0,0
"50","iSSVD","3","Overall","BiS",0,0
"51","iSSVD","4","Overall","CSR",0.2,0
"52","iSSVD","4","Overall","Rel",0,0
"53","iSSVD","4","Overall","Rec",0,0
"54","iSSVD","4","Overall","F_score",0,0
"55","iSSVD","4","Overall","BiS",0,0
"56","iSSVD","5","Overall","CSR",0.845714285714286,0.224850668509684
"57","iSSVD","5","Overall","Rel",0.291305131553008,0.142577268284989
"58","iSSVD","5","Overall","Rec",0.193338605117104,0.0944186420310643
"59","iSSVD","5","Overall","F_score",0.214179042138782,0.0849183945934416
"60","iSSVD","5","Overall","BiS",-0.0900015999420053,0.316922248504024
"61","NMTF","2","Overall","CSR",0.741617063492063,0.072392109364801
"62","NMTF","2","Overall","Rel",0.332510644308389,0.041053114626873
"63","NMTF","2","Overall","Rec",0.474632037656637,0.0477350277683024
"64","NMTF","2","Overall","F_score",0.38783369690606,0.0406836838147757
"65","NMTF","2","Overall","BiS",0.0640876181871757,0.107947743542693
"66","NMTF","3","Overall","CSR",1,0
"67","NMTF","3","Overall","Rel",0.99772498743087,0.00190500546893646
"68","NMTF","3","Overall","Rec",0.99772498743087,0.00190500546893646
"69","NMTF","3","Overall","F_score",0.99772498743087,0.00190500546893646
"70","NMTF","3","Overall","BiS",0.462940735399845,0.00724537598806075
"71","NMTF","4","Overall","CSR",0.956647727272727,0.0353066574577038
"72","NMTF","4","Overall","Rel",0.848771940595502,0.0421259607626066
"73","NMTF","4","Overall","Rec",0.880003021780588,0.0310271962394424
"74","NMTF","4","Overall","F_score",0.862222973621805,0.0353675836838832
"75","NMTF","4","Overall","BiS",0.281085524295954,0.02359739152935
"76","NMTF","5","Overall","CSR",0.962228327228327,0.0293543460466104
"77","NMTF","5","Overall","Rel",0.711276573696313,0.0538709107290441
"78","NMTF","5","Overall","Rec",0.705391316855306,0.0402604889750641
"79","NMTF","5","Overall","F_score",0.706311046729408,0.0454541213819371
"80","NMTF","5","Overall","BiS",0.149126486348943,0.0426018943811569
