"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.820456349206349,0.101861830063383
"2","2","Overall","Rel",0.0379589017050976,0.0286832194950002
"3","2","Overall","Rec",0.0588586365755162,0.0455745407197871
"4","2","Overall","F_score",0.0455857210724715,0.0343111989208989
"5","2","Overall","BiS",0.51505637303355,0.0113754224892937
"6","3","Overall","CSR",0.977416666666667,0.0537502966294615
"7","3","Overall","Rel",0.988787432105677,0.0271787049287219
"8","3","Overall","Rec",0.957996544154412,0.0871170163924799
"9","3","Overall","F_score",0.967863872401283,0.0654949688789723
"10","3","Overall","BiS",0.469096421392272,0.00457360185218302
"11","4","Overall","CSR",0.845770479520479,0.121127214485988
"12","4","Overall","Rel",0.555059774238389,0.295215338352922
"13","4","Overall","Rec",0.421151648329629,0.226234971703582
"14","4","Overall","F_score",0.470380704320121,0.245072708234879
"15","4","Overall","BiS",0.379157277335787,0.0432245388974713
"16","5","Overall","CSR",0.428349206349207,0.208036616103488
"17","5","Overall","Rel",0.157884795531775,0.258389259881818
"18","5","Overall","Rec",0.0721688912245583,0.128114528611253
"19","5","Overall","F_score",0.0925448575561971,0.156014668995536
"20","5","Overall","BiS",0.270056275010414,0.106497998966414
